roll_no,name,maths,english,science,hindi,total,percentage
1,Aarav,49,38,70,66,223,55.75
2,Vivaan,63,52,48,46,209,52.25
3,Aditya,89,39,38,46,212,53.0
4,Vihaan,62,64,99,38,263,65.75
5,Arjun,60,88,63,92,303,75.75
6,Sai,70,35,55,89,249,62.25
7,Reyansh,78,70,54,62,264,66.0
8,Krishna,78,48,46,83,255,63.75
9,Ishaan,47,80,79,68,274,68.5
10,Rohan,40,93,50,83,266,66.5
11,Ananya,45,72,81,59,257,64.25
12,Diya,43,40,64,72,219,54.75
13,Ira,45,64,47,83,239,59.75
14,Myra,70,93,81,55,299,74.75
15,Aadhya,82,80,61,69,292,73.0
16,Kiara,44,56,66,55,221,55.25
17,Saanvi,94,83,69,63,309,77.25
18,Anika,76,42,64,39,221,55.25
19,Riya,75,86,69,43,273,68.25
20,Navya,62,75,62,98,297,74.25
21,Bhavyata,85,93,53,68,299,74.75
22,Rahul,52,66,68,89,275,68.75
23,Priya,86,81,63,52,282,70.5
24,Karan,100,98,46,41,285,71.25
25,Neha,49,54,55,89,247,61.75
26,Amit,43,84,83,94,304,76.0
27,Pooja,67,36,49,69,221,55.25
28,Vikram,78,49,72,90,289,72.25
29,Sneha,55,93,35,68,251,62.75
30,Manish,99,57,99,48,303,75.75
